Designator,Mid X,Mid Y,Layer,Rotation
R114,69.000000mm,-89.500000mm,Top,90
R115,94.761000mm,-89.500000mm,Top,90
R116,69.000000mm,-103.500000mm,Top,90
R117,94.761000mm,-103.500000mm,Top,90
R118,69.000000mm,-117.500000mm,Top,90
R119,94.761000mm,-117.500000mm,Top,90
R120,69.000000mm,-131.500000mm,Top,90
R121,94.761000mm,-131.500000mm,Top,90
R122,68.945000mm,-145.960000mm,Top,90
R123,94.761000mm,-146.500000mm,Top,90
R124,185.000000mm,-54.200000mm,Top,-90
R125,220.900000mm,-131.000000mm,Top,90
R126,220.900000mm,-137.000000mm,Top,90
R127,220.900000mm,-143.000000mm,Top,90
R128,220.900000mm,-149.000000mm,Top,90
R129,220.900000mm,-155.000000mm,Top,90
R130,220.900000mm,-161.000000mm,Top,90
R131,220.900000mm,-119.000000mm,Top,90
R132,185.000000mm,-65.200000mm,Top,-90
R133,185.000000mm,-76.200000mm,Top,-90
R134,203.797500mm,-86.447000mm,Top,-90
R135,185.000000mm,-86.527000mm,Top,-90
R136,203.797500mm,-97.527000mm,Top,-90
R137,185.000000mm,-97.854500mm,Top,-90
R138,195.000000mm,-108.854500mm,Top,-90
R139,195.000000mm,-119.854500mm,Top,-90
R140,195.000000mm,-130.854500mm,Top,-90
R141,195.000000mm,-141.854500mm,Top,-90
R142,195.000000mm,-152.854500mm,Top,-90
R143,204.057500mm,-54.092500mm,Top,-90
R144,204.057500mm,-65.092500mm,Top,-90
R145,203.849500mm,-75.854500mm,Top,-90
SW1,38.300000mm,-126.600000mm,Top,180
SW2,38.300000mm,-132.600000mm,Top,180
SW3,38.300000mm,-138.600000mm,Top,180
SW4,38.300000mm,-144.600000mm,Top,180
SW5,38.300000mm,-150.600000mm,Top,0
U1,58.100000mm,-57.000000mm,Top,-90
U2,37.000000mm,-53.000000mm,Top,90
U3,57.500000mm,-26.850000mm,Top,90
U4,83.460000mm,-36.000000mm,Top,0
U5,62.000000mm,-94.500000mm,Top,180
U6,200.550000mm,-166.600000mm,Top,-90
U7,141.200000mm,-125.600000mm,Top,0
U8,228.200000mm,-166.900000mm,Top,0
U9,216.850000mm,-166.350000mm,Top,0
U10,141.200000mm,-134.600000mm,Top,0
U11,226.000000mm,-124.000000mm,Top,0
U12,226.000000mm,-130.000000mm,Top,0
U13,226.000000mm,-136.000000mm,Top,0
U14,226.000000mm,-142.000000mm,Top,0
U15,226.000000mm,-148.000000mm,Top,0
U16,226.000000mm,-154.000000mm,Top,0
U17,226.000000mm,-160.000000mm,Top,0
U18,226.000000mm,-118.000000mm,Top,0
